time,temperature_2m
2026-09-14T00:00,20.9
2026-09-14T01:00,20.7
2026-09-14T02:00,21.9
2026-09-14T03:00,23.7
2026-09-14T04:00,25.5
2026-09-14T05:00,26.9
2026-09-14T06:00,27.4
2026-09-14T07:00,28.4
2026-09-14T08:00,28.8
2026-09-14T09:00,28.7
2026-09-14T10:00,28.3
2026-09-14T11:00,27.4
2026-09-14T12:00,26.2
2026-09-14T13:00,24.6
2026-09-14T14:00,23.6
2026-09-14T15:00,22.6
2026-09-14T16:00,21.9
2026-09-14T17:00,21.3
2026-09-14T18:00,20.9
2026-09-14T19:00,20.7
2026-09-14T20:00,20.6
2026-09-14T21:00,20.4
2026-09-14T22:00,20.8
2026-09-14T23:00,21.1
2026-09-15T00:00,20.8
2026-09-15T01:00,20.1
2026-09-15T02:00,21.4
2026-09-15T03:00,23.7
2026-09-15T04:00,25.0
2026-09-15T05:00,27.0
2026-09-15T06:00,28.3
2026-09-15T07:00,29.4
2026-09-15T08:00,30.0
2026-09-15T09:00,30.3
2026-09-15T10:00,29.7
2026-09-15T11:00,28.1
2026-09-15T12:00,26.9
2026-09-15T13:00,25.3
2026-09-15T14:00,23.9
2026-09-15T15:00,22.9
2026-09-15T16:00,22.1
2026-09-15T17:00,21.5
2026-09-15T18:00,21.1
2026-09-15T19:00,20.8
2026-09-15T20:00,20.6
2026-09-15T21:00,20.5
2026-09-15T22:00,20.3
2026-09-15T23:00,20.3
2026-09-16T00:00,20.4
2026-09-16T01:00,20.8
2026-09-16T02:00,21.8
2026-09-16T03:00,23.6
2026-09-16T04:00,25.5
2026-09-16T05:00,26.5
2026-09-16T06:00,27.8
2026-09-16T07:00,28.8
2026-09-16T08:00,29.5
2026-09-16T09:00,29.7
2026-09-16T10:00,29.9
2026-09-16T11:00,26.8
2026-09-16T12:00,26.3
2026-09-16T13:00,25.1
2026-09-16T14:00,24.2
2026-09-16T15:00,23.3
2026-09-16T16:00,22.8
2026-09-16T17:00,22.4
2026-09-16T18:00,22.0
2026-09-16T19:00,21.7
2026-09-16T20:00,21.4
2026-09-16T21:00,21.1
2026-09-16T22:00,20.8
2026-09-16T23:00,20.7
2026-09-17T00:00,20.9
2026-09-17T01:00,21.1
2026-09-17T02:00,21.9
2026-09-17T03:00,23.8
2026-09-17T04:00,25.8
2026-09-17T05:00,26.6
2026-09-17T06:00,27.6
2026-09-17T07:00,29.2
2026-09-17T08:00,29.9
2026-09-17T09:00,29.2
2026-09-17T10:00,26.4
2026-09-17T11:00,26.7
2026-09-17T12:00,25.9
2026-09-17T13:00,25.0
2026-09-17T14:00,24.2
2026-09-17T15:00,23.6
2026-09-17T16:00,23.1
2026-09-17T17:00,22.6
2026-09-17T18:00,22.1
2026-09-17T19:00,21.7
2026-09-17T20:00,21.4
2026-09-17T21:00,21.2
2026-09-17T22:00,21.2
2026-09-17T23:00,21.3
2026-09-18T00:00,21.6
2026-09-18T01:00,22.2
2026-09-18T02:00,23.0
2026-09-18T03:00,24.1
2026-09-18T04:00,25.7
2026-09-18T05:00,27.6
2026-09-18T06:00,28.8
2026-09-18T07:00,28.7
2026-09-18T08:00,27.9
2026-09-18T09:00,27.1
2026-09-18T10:00,26.8
2026-09-18T11:00,26.6
2026-09-18T12:00,26.2
2026-09-18T13:00,25.4
2026-09-18T14:00,24.5
2026-09-18T15:00,23.6
2026-09-18T16:00,23.0
2026-09-18T17:00,22.6
2026-09-18T18:00,22.2
2026-09-18T19:00,21.8
2026-09-18T20:00,21.4
2026-09-18T21:00,21.2
2026-09-18T22:00,20.9
2026-09-18T23:00,20.6
2026-09-19T00:00,20.8
2026-09-19T01:00,21.4
2026-09-19T02:00,22.5
2026-09-19T03:00,23.7
2026-09-19T04:00,25.2
2026-09-19T05:00,26.9
2026-09-19T06:00,28.4
2026-09-19T07:00,29.5
2026-09-19T08:00,30.5
2026-09-19T09:00,30.7
2026-09-19T10:00,29.8
2026-09-19T11:00,28.2
2026-09-19T12:00,26.8
2026-09-19T13:00,25.9
2026-09-19T14:00,25.1
2026-09-19T15:00,24.4
2026-09-19T16:00,23.8
2026-09-19T17:00,23.4
2026-09-19T18:00,23.0
2026-09-19T19:00,22.8
2026-09-19T20:00,22.6
2026-09-19T21:00,22.4
2026-09-19T22:00,21.2
2026-09-19T23:00,21.1
2026-09-20T00:00,21.3
2026-09-20T01:00,22.1
2026-09-20T02:00,23.5
2026-09-20T03:00,25.1
2026-09-20T04:00,26.6
2026-09-20T05:00,27.9
2026-09-20T06:00,28.6
2026-09-20T07:00,28.6
2026-09-20T08:00,28.2
2026-09-20T09:00,27.5
2026-09-20T10:00,26.7
2026-09-20T11:00,25.9
2026-09-20T12:00,25.2
2026-09-20T13:00,24.7
2026-09-20T14:00,24.2
2026-09-20T15:00,23.8
2026-09-20T16:00,23.3
2026-09-20T17:00,23.0
2026-09-20T18:00,22.7
2026-09-20T19:00,22.4
2026-09-20T20:00,22.1
2026-09-20T21:00,21.9
2026-09-20T22:00,21.8
2026-09-20T23:00,21.9
